201000,88
201000,77
201000,84
201000,76
201000,88
201000,82
201000,85
201000,96
201000,96
201000,109
201000,134
201000,110
201000,515
201000,1139
201000,499
201000,694
201000,527
201000,669
201000,526
201000,399
201000,74
201000,71
201000,373
201000,453
201000,472
201000,182
201000,245
201000,172
201000,178
201000,248
201000,88
201000,108
201000,85
201000,95
201000,73
201000,96
201000,79
201000,108
201000,85
201000,74
201000,333
201000,673
201000,745
201000,621
201000,1086
201000,380
201000,441
201000,441
201000,88
201000,71
201000,534
201000,435
201000,382
201000,393
201000,168
201000,190
201000,237
201000,227
201000,317
201000,518
